Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,100,98,96,100,100,118,93,264,0.000%,1.34944,0.13,0.21
Get Movie,100,99,96,100,102,188,93,259,0.000%,1.35239,3.83,0.21
Create Movie,100,225,187,359,420,774,142,900,0.000%,1.35044,0.22,0.32
Create Character,100,224,190,312,355,502,165,643,0.000%,1.35168,0.17,0.31
Get Detail Movie,100,98,95,99,100,120,93,308,0.000%,1.35437,0.29,0.29
TOTAL,500,149,99,242,308,496,93,900,0.000%,6.69514,4.60,1.32
