Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,100,103,99,101,106,128,94,514,0.000%,1.21020,0.23,0.18
Get Movie,100,100,99,101,114,126,94,145,0.000%,1.21631,3.57,0.19
Create Movie,100,275,190,455,557,822,139,3341,0.000%,1.21588,0.26,0.29
Create Character,100,249,218,328,408,639,166,920,0.000%,1.22399,0.27,0.28
Get Detail Movie,100,102,98,105,127,173,93,221,0.000%,1.22719,0.39,0.27
TOTAL,500,166,101,265,343,639,93,3341,0.000%,6.00651,4.66,1.18
