Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,100,111,100,105,114,139,95,1113,0.000%,1.24566,0.12,0.19
Get Movie,100,100,99,103,109,138,95,144,0.000%,1.26162,3.58,0.19
Create Movie,100,246,185,340,489,670,146,3149,0.000%,1.26113,0.21,0.30
Create Character,100,245,201,401,498,610,166,792,0.000%,1.26325,0.16,0.29
Get Detail Movie,100,103,99,103,105,142,95,434,0.000%,1.26526,0.28,0.27
TOTAL,500,161,102,240,345,601,95,3149,0.000%,6.18483,4.25,1.22
