Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,5122,104,100,107,111,200,89,800,0.000%,17.08524,1.59,2.60
Get Movie,5122,128,127,158,181,237,92,429,0.000%,17.12093,2515.90,2.61
Create Movie,5122,270,197,417,587,1089,129,3673,0.000%,17.11790,2.82,4.06
Create Character,5117,283,222,417,562,946,153,3776,0.000%,17.12316,2.22,3.91
Get Detail Movie,5110,105,101,107,115,254,91,765,0.000%,17.12065,3.78,3.73
TOTAL,25593,178,129,286,383,775,89,3776,0.000%,85.27049,2518.11,16.85
