Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,2499,276,208,519,776,1345,91,3271,0.000%,8.33878,1.60,1.27
Get Movie,2499,271,205,481,712,1246,93,3422,0.000%,8.34410,596.81,1.27
Create Movie,2496,533,345,1049,1490,3048,126,4075,0.000%,8.31601,1.77,1.97
Create Character,2490,530,371,1062,1413,2355,157,4055,0.000%,8.30714,1.86,1.90
Get Detail Movie,2483,225,200,359,508,985,91,1288,0.000%,8.31461,2.65,1.81
TOTAL,12467,367,249,745,1052,2173,91,4075,0.000%,41.44408,602.04,8.19
