Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,3260,2766,2856,4196,4723,12085,88,21419,0.000%,10.75783,2.07,1.64
Get Movie,3215,2788,2861,4203,4712,15114,87,17947,0.000%,10.63883,964.23,1.62
Create Movie,3181,2938,3001,4310,4990,13610,133,21553,0.000%,10.51602,2.24,2.50
Create Character,3141,2994,3047,4368,5117,14848,154,21547,0.000%,10.40073,2.33,2.37
Get Detail Movie,3099,2791,2886,4165,4817,13544,89,17906,0.000%,10.27864,3.28,2.24
TOTAL,15896,2855,2919,4249,4864,13874,87,21553,0.000%,52.43540,971.06,10.33
