Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,6175,1314,668,3299,3866,5190,89,17980,0.000%,19.42948,1.80,2.96
Get Movie,6134,1360,562,3381,4007,5369,93,18207,0.000%,19.32979,3366.38,2.94
Create Movie,6102,2107,2134,3952,4335,7774,132,17895,0.000%,19.25723,3.18,4.57
Create Character,6046,1747,1558,3671,4204,5593,157,18444,0.000%,19.07496,2.48,4.36
Get Detail Movie,6007,1035,111,3088,3758,4930,90,16801,0.000%,19.07432,4.21,4.16
TOTAL,30464,1513,1132,3536,4082,5458,89,18444,0.000%,95.70605,3367.68,18.89
