Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Genre,5900,1453,946,3130,3750,7750,90,11065,0.000%,19.02477,1.76,2.90
Get Movie,5862,1426,627,3204,3937,8496,92,11157,0.000%,18.92329,3146.94,2.88
Create Movie,5829,2177,2217,3652,5463,9257,138,14216,0.000%,18.79359,3.10,4.46
Create Character,5779,1727,1348,3368,4112,8202,157,11570,0.000%,18.65427,2.42,4.26
Get Detail Movie,5727,1067,113,2804,3391,6723,90,10687,0.000%,18.60733,4.11,4.05
TOTAL,29097,1571,1135,3288,4017,7850,90,14216,0.000%,93.70501,3150.79,18.50
